Group,TeamName1,TeamName2,1,X,2
A,Turkey,Italy,8.14,3.9,1.53
A,Wales,Switzerland,3.97,3.06,2.21
B,Denmark,Finland,1.46,4.2,9.08
B,Belgium,Russia,1.74,3.7,5.37
D,England,Croatia,1.68,3.78,5.78
C,Austria,North Macedonia,1.68,3.58,6.25
C,Netherlands,Ukraine,1.67,3.68,6.1
D,Scotland,Czech Republic,2.98,2.98,2.77
E,Poland,Slovakia,1.84,3.29,5.34
E,Spain,Sweden,1.47,4.33,7.96
F,Hungary,Portugal,7.49,4.27,1.5
F,France,Germany,2.69,3.17,2.87
B,Finland,Russia,5.31,3.74,1.71
A,Turkey,Wales,2.3,3.12,3.51
A,Italy,Switzerland,1.74,3.56,5.34
C,Ukraine,North Macedonia,1.62,3.7,6.44
B,Denmark,Belgium,3.66,3.35,2.13
C,Netherlands,Austria,1.61,3.96,5.96
E,Sweden,Slovakia,1.84,3.37,4.95
D,Croatia,Czech Republic,2.22,3.27,3.53
D,England,Scotland,1.37,4.97,8.95
F,Hungary,France,8.42,4.75,1.4
F,Portugal,Germany,3.22,3.36,2.31
E,Spain,Poland,1.51,4.34,6.6
A,Italy,Wales,1.49,4.25,7.28
A,Switzerland,Turkey,2.4,3.3,3.1
C,North Macedonia,Netherlands,16.04,6.35,1.22
C,Ukraine,Austria,2.73,3.24,2.71
B,Finland,Belgium,13.3,6.37,1.23
B,Russia,Denmark,4.12,3.48,1.96
D,Croatia,Scotland,1.98,3.37,4.17
D,Czech Republic,England,7.01,4.56,1.47
E,Slovakia,Spain,14.21,6.12,1.24
E,Sweden,Poland,2.6,3.19,2.91
F,Germany,Hungary,1.26,6.17,11.63
F,Portugal,France,3.11,3.28,2.41
